year,rainfall,temp_seawaterSurface,temp_min,temp_max,hotDays_num,coldDays_num
1987,107.6452,nd,nd,nd,nd,nd
1988,124.1806,nd,nd,nd,nd,nd
1989,117.8306,27.2,24.9,29.0,0,94
1990,106.3752,27.4,24.9,29.7,23,77
1991,86.0298,27.3,25.4,29.3,1,72
1992,122.6058,27.5,25.3,29.6,10,65
1993,111.6330,27.6,25.4,29.2,0,54
1994,68.0720,27.4,25.6,29.0,0,39
1995,102.4382,27.8,25.8,29.7,17,9
1996,116.2558,27.3,25.5,28.9,0,21
1997,92.4814,27.8,25.3,29.5,9,55
1998,123.4948,28.2,26.3,29.8,70,0
1999,124.2314,28.0,25.2,30.3,70,41
2000,100.2030,27.5,25.1,29.5,7,78
2001,127.9906,27.7,25.8,29.6,18,18
2002,94.5134,27.7,25.6,29.4,5,36
2003,137.7442,28.0,26.2,29.9,67,0
2004,120.9294,27.8,25.7,29.7,35,5
2005,111.2774,28.2,25.0,30.6,112,49
2006,114.2492,28.0,25.6,30.1,52,10
2007,130.7084,28.0,26.2,29.9,40,0
2008,140.9700,27.5,25.3,29.6,20,83
2009,107.4191,27.6,24.9,29.6,32,62
2010,186.0042,28.3,26.0,30.3,81,1
2011,140.4112,27.7,25.5,29.7,26,38
2012,90.9574,27.9,25.5,30.2,53,34
2013,142.0000,27.8,26.0,30.2,29.3,4
